Project,project_id,issue_iid,issue_id,title,state,author,assignees,labels,milestone,created_at,updated_at,due_date,weight,confidential,web_url
"atlas-datascience/lion/infrastructure/gitlab-runner-manager-templates","70655583","1","169148445","Review and Validate Runner Manager Project Configuration and Best Practices","closed","alain.atemnkeng","","","","2025-06-19T13:56:14.001Z","2025-08-08T20:25:12.724Z","","","false","https://gitlab.com/atlas-datascience/lion/infrastructure/gitlab-runner-manager-templates/-/issues/1"
"atlas-datascience/lion/example-datasets","70542589","7","169212884","Spike - Investigate Apache Rancher","closed","rprice314","rprice314","","","2025-06-20T22:35:45.928Z","2025-06-30T13:17:10.552Z","","","false","https://gitlab.com/atlas-datascience/lion/example-datasets/-/issues/7"
"atlas-datascience/lion/example-datasets","70542589","8","169212917","Spike - Investigate OPA","closed","rprice314","rprice314","","","2025-06-20T22:37:26.687Z","2025-06-30T13:34:24.305Z","","","false","https://gitlab.com/atlas-datascience/lion/example-datasets/-/issues/8"
"atlas-datascience/lion/example-datasets","70542589","9","169213008","Document Schema Extension Strategies","closed","rprice314","rprice314","","","2025-06-20T22:39:57.632Z","2025-06-30T13:27:39.053Z","","","false","https://gitlab.com/atlas-datascience/lion/example-datasets/-/issues/9"
"atlas-datascience/lion/cicd/containers/utility/container-tools","69667755","1","169324068","Create Gitlab CICD pipeline template file","closed","freedomgb","freedomgb","","","2025-06-23T19:37:26.641Z","2025-08-29T18:22:44.375Z","2025-06-27","","false","https://gitlab.com/atlas-datascience/lion/cicd/containers/utility/container-tools/-/issues/1"
"atlas-datascience/lion/infrastructure/aws/aws-account-creation","71125468","1","169475633","Develop Terraform Codebase for AWS Account Creation and Organization Integration","closed","alain.atemnkeng","","","","2025-06-25T14:58:56.703Z","2025-08-08T20:25:39.769Z","","","false","https://gitlab.com/atlas-datascience/lion/infrastructure/aws/aws-account-creation/-/issues/1"
"atlas-datascience/lion/infrastructure/aws/access-manager","70447540","1","169481796","Develop Terraform Codebase for Automated AWS Multi-Account Access Management","closed","alain.atemnkeng","","","","2025-06-25T15:26:31.277Z","2025-08-08T20:25:56.188Z","","","false","https://gitlab.com/atlas-datascience/lion/infrastructure/aws/access-manager/-/issues/1"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","18","169778474","Replace Placeholder AssetEvent with JSON Schema Output Model","closed","rcross3","rcross3","aspect::edge-connector","","2025-06-27T17:26:04.255Z","2025-09-19T14:52:24.333Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/18"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","19","169782103","Validate exif meets threshold for necessary geospatial extraction.","closed","rcross3","","aspect::edge-connector","","2025-06-27T18:37:52.747Z","2025-09-19T14:52:24.604Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/19"
"atlas-datascience/lion/local-environment","70509031","3","169869188","Add Flyway to local development environment","closed","rprice314","rprice314","","","2025-06-30T13:37:24.029Z","2025-08-08T20:26:11.784Z","","","false","https://gitlab.com/atlas-datascience/lion/local-environment/-/issues/3"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","20","169874543","Edge Connector Terraform deploy template","opened","szahniy","alain.atemnkeng","Sprint Ready|aspect::platform","","2025-06-30T15:34:15.592Z","2025-09-22T14:46:35.681Z","","3","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/20"
"atlas-datascience/lion/project-lion/paxium-access-broker","74557728","3","173633492","Draft trust and permission policy","opened","szahniy","","Backlog|aspect::access-broker","","2025-06-30T16:00:25.367Z","2025-09-19T14:07:53.656Z","","2","false","https://gitlab.com/atlas-datascience/lion/project-lion/paxium-access-broker/-/issues/3"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","21","169875506","Draft trust and permission policy","closed","szahniy","","Backlog|aspect::edge-connector","","2025-06-30T16:00:25.367Z","2025-09-19T14:52:24.840Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/21"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","22","169875511","Terraform module","closed","szahniy","alain.atemnkeng","aspect::edge-connector","","2025-06-30T16:00:39.646Z","2025-09-19T14:52:25.096Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/22"
"atlas-datascience/lion/project-lion/paxium-access-broker","74557728","2","173633472","Implement IAM role and ExternalId input","opened","szahniy","","Backlog|aspect::access-broker","","2025-06-30T16:00:52.229Z","2025-09-19T14:07:33.459Z","","3","false","https://gitlab.com/atlas-datascience/lion/project-lion/paxium-access-broker/-/issues/2"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","23","169875514","Implement IAM role and ExternalId input","closed","szahniy","","Backlog|aspect::edge-connector","","2025-06-30T16:00:52.229Z","2025-09-19T14:52:25.298Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/23"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","24","169875526","Attach least-privilege policies per datastore","closed","szahniy","","aspect::edge-connector","","2025-06-30T16:01:24.538Z","2025-09-19T14:52:25.612Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/24"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","25","169875549","Test assume-role","closed","szahniy","","aspect::edge-connector","","2025-06-30T16:02:10.089Z","2025-09-19T14:52:26.146Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/25"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","26","169875558","CI","closed","szahniy","","aspect::edge-connector","","2025-06-30T16:02:33.877Z","2025-09-19T14:52:26.606Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/26"
"atlas-datascience/lion/project-lion/paxium-access-broker","74557728","1","173633461","Deploy to sandbox","opened","szahniy","","Backlog|Parking Lot|aspect::access-broker","","2025-06-30T16:03:16.192Z","2025-09-19T14:07:10.825Z","","2","false","https://gitlab.com/atlas-datascience/lion/project-lion/paxium-access-broker/-/issues/1"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","27","169875578","Deploy to sandbox","closed","szahniy","","Backlog|Parking Lot|aspect::edge-connector","","2025-06-30T16:03:16.192Z","2025-09-19T14:52:26.941Z","","2","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/27"
"atlas-datascience/lion/project-lion/data-ingestion-enrichment/ingestion-gateway","70663322","8","170290853","Implement comprehensive tests","closed","aagalyoon","","","","2025-07-08T14:29:25.024Z","2025-08-11T16:31:14.202Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/ingestion-gateway/-/issues/8"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","28","170181685","Implement comprehensive tests","closed","aagalyoon","","aspect::edge-connector","","2025-07-08T14:29:25.024Z","2025-09-19T14:52:27.235Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/28"
"atlas-datascience/lion/project-lion/data-ingestion-enrichment/ingestion-gateway","70663322","7","170289735","Implement OpenMetadata client","closed","aagalyoon","","","","2025-07-08T14:29:31.803Z","2025-08-08T20:40:31.616Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/ingestion-gateway/-/issues/7"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","29","170181695","Implement OpenMetadata client","closed","aagalyoon","","Backlog|aspect::edge-connector","","2025-07-08T14:29:31.803Z","2025-09-19T14:52:27.496Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/29"
"atlas-datascience/lion/project-lion/data-ingestion-enrichment/ingestion-gateway","70663322","6","170289556","Implement Kinesis Event Receiver","closed","aagalyoon","johndmema","In Progress","","2025-07-08T14:29:37.223Z","2025-07-22T14:50:01.622Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/ingestion-gateway/-/issues/6"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","30","170181704","Create Lambda to process Kinesis events","closed","aagalyoon","","aspect::edge-connector","","2025-07-08T14:29:37.223Z","2025-09-19T14:52:27.779Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/30"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","31","170181709","Create Kinesis publishing service","closed","aagalyoon","","aspect::edge-connector","","2025-07-08T14:29:42.979Z","2025-09-19T14:52:28.024Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/31"
"atlas-datascience/lion/project-lion/data-ingestion-enrichment/ingestion-gateway","70663322","5","170288967","Implement Redis-based event deduplication","closed","aagalyoon","chris.sonnenberg","aspect::edge-connector","","2025-07-08T14:29:48.961Z","2025-09-02T19:26:43.420Z","","5","false","https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/ingestion-gateway/-/issues/5"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","32","170181714","Implement Redis-based event deduplication","closed","aagalyoon","","Backlog|aspect::edge-connector","","2025-07-08T14:29:48.961Z","2025-09-19T14:52:28.275Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/32"
"atlas-datascience/lion/project-lion/data-ingestion-enrichment/ingestion-gateway","70663322","4","170285541","Implement Ingest Gateway API","closed","aagalyoon","chris.sonnenberg","","","2025-07-08T14:30:03.246Z","2025-08-25T18:16:03.681Z","","8","false","https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/ingestion-gateway/-/issues/4"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","34","170181728","Implement base API with middleware","closed","aagalyoon","","aspect::edge-connector","","2025-07-08T14:30:03.246Z","2025-09-19T14:52:28.556Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/34"
"atlas-datascience/lion/project-lion/data-ingestion-enrichment/ingestion-gateway","70663322","3","170285502","(Platform) Configure AWS resources using Infrastructure as Code","closed","aagalyoon","","","","2025-07-08T18:10:35.432Z","2025-08-22T01:16:12.239Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/ingestion-gateway/-/issues/3"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","35","170190353","(Platform) Configure AWS resources using Infrastructure as Code","closed","aagalyoon","","aspect::edge-connector","","2025-07-08T18:10:35.432Z","2025-09-19T14:52:28.866Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/35"
"atlas-datascience/lion/project-lion/data-ingestion-enrichment/ingestion-gateway","70663322","1","170285351","Initialize ingestion-gateway repository","closed","aagalyoon","","","","2025-07-08T18:12:00.184Z","2025-08-08T20:47:08.227Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/ingestion-gateway/-/issues/1"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","36","170190372","Initialize ingestion-gateway repository","closed","aagalyoon","","aspect::edge-connector","","2025-07-08T18:12:00.184Z","2025-09-19T14:52:29.124Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/36"
"atlas-datascience/lion/project-lion/data-ingestion-enrichment/ingestion-gateway","70663322","2","170285473","Create documentation and deployment guides","closed","aagalyoon","chris.sonnenberg","aspect::edge-connector","","2025-07-08T19:57:02.997Z","2025-08-28T18:41:36.940Z","","3","false","https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/ingestion-gateway/-/issues/2"
"atlas-datascience/lion/example-datasets","70542589","10","170194267","Create documentation and deployment guides","closed","aagalyoon","","","","2025-07-08T19:57:02.997Z","2025-07-10T17:45:23.836Z","","","false","https://gitlab.com/atlas-datascience/lion/example-datasets/-/issues/10"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","37","170247928","Example-Datasets S3 Event Generator - Event Creation","closed","rcross3","johndmema","Closed|aspect::edge-connector","","2025-07-10T00:08:56.122Z","2025-09-19T14:52:29.417Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/37"
"atlas-datascience/lion/infrastructure/aws/master-network","71529533","1","170277749","Master Network Design","closed","freedomgb","pierreo32","","","2025-07-10T15:21:31.370Z","2025-08-08T20:49:23.036Z","2025-07-14","","false","https://gitlab.com/atlas-datascience/lion/infrastructure/aws/master-network/-/issues/1"
"atlas-datascience/lion/infrastructure/aws/master-network","71529533","2","170278012","Establish Terraform Templates for Master Network","closed","freedomgb","","","","2025-07-10T15:26:29.935Z","2025-08-11T16:24:55.583Z","","","false","https://gitlab.com/atlas-datascience/lion/infrastructure/aws/master-network/-/issues/2"
"atlas-datascience/lion/infrastructure/aws/environment-networks","71529570","1","170278419","Establish Environment Networks","closed","freedomgb","","","","2025-07-10T15:29:27.273Z","2025-08-08T20:50:02.701Z","","","false","https://gitlab.com/atlas-datascience/lion/infrastructure/aws/environment-networks/-/issues/1"
"atlas-datascience/lion/renovate-runner","71311398","1","170322416","Dependency Dashboard","closed","group_101972113_bot_9af811fe10be4bb757f2747a3517b37c","","","","2025-07-11T12:39:13.272Z","2025-08-08T21:04:47.048Z","","","false","https://gitlab.com/atlas-datascience/lion/renovate-runner/-/issues/1"
"atlas-datascience/lion/test-project","70868426","1","170363886","Dependency Dashboard","closed","group_101972113_bot_9af811fe10be4bb757f2747a3517b37c","","","","2025-07-12T02:41:45.249Z","2025-09-05T15:30:12.262Z","","","false","https://gitlab.com/atlas-datascience/lion/test-project/-/issues/1"
"atlas-datascience/lion/local-environment","70509031","4","170565659","S3 Event Generator - Enqueue and Capture","closed","rcross3","johndmema","","","2025-07-14T14:54:28.330Z","2025-08-11T16:03:20.987Z","","","false","https://gitlab.com/atlas-datascience/lion/local-environment/-/issues/4"
"atlas-datascience/lion/cicd/catalog/pipelines","71129638","1","170580184","Pipeline for Typescript/NodeJS","closed","freedomgb","alain.atemnkeng","","","2025-07-14T19:38:41.176Z","2025-08-29T18:23:31.871Z","","3","false","https://gitlab.com/atlas-datascience/lion/cicd/catalog/pipelines/-/issues/1"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","38","170679762","Implement Process Flow for Edge Connector","closed","rcross3","rcross3","aspect::edge-connector","","2025-07-16T17:08:59.602Z","2025-09-19T14:52:29.846Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/38"
"atlas-datascience/lion/project-lion/schemas","71164198","1","170698012","Publish Schema and Types package (lion/schema)","closed","rcross3","","","","2025-07-16T17:11:01.756Z","2025-08-26T15:24:26.473Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/schemas/-/issues/1"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","39","170679824","Publish Schema and Types package (lion/schema)","closed","rcross3","","aspect::edge-connector","","2025-07-16T17:11:01.756Z","2025-09-19T14:52:30.468Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/39"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","40","170937774","Implement KinesisProducerHandler to push validated events to events-raw","closed","szahniy","chris.sonnenberg","aspect::edge-connector","","2025-07-22T13:32:43.901Z","2025-09-19T14:52:31.133Z","","3","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/40"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","42","170939570","Extend Enrichment Lambda to upsert Containers in OpenMetadata","closed","szahniy","","aspect::edge-connector","","2025-07-22T14:11:37.073Z","2025-09-19T14:52:31.496Z","","8","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/42"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","43","171122770","Support GeoPDF Extraction with Python Lambda","opened","rcross3","","Ready|aspect::edge-connector","","2025-07-25T16:04:07.250Z","2025-09-22T14:58:24.305Z","","21","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/43"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","44","171122824","Validate node-gdal-async bundled gdal version is approved software","closed","rcross3","","aspect::edge-connector","","2025-07-25T16:06:33.204Z","2025-09-19T14:52:31.737Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/44"
"atlas-datascience/lion/project-lion/schemas","71164198","2","171666890","Publish the contents of Schema package to a private registry for availability","closed","rcross3","alain.atemnkeng","","","2025-08-07T18:53:46.223Z","2025-08-22T17:20:10.168Z","","5","false","https://gitlab.com/atlas-datascience/lion/project-lion/schemas/-/issues/2"
"atlas-datascience/lion/local-environment","70509031","16","173838693","As Scrum Master I want to define and present Scrum process and workflow, generate backlog and board artifacts, facilitate Sprint planning, review and retrospective","closed","roy.mayfield","roy.mayfield","","","2025-08-11T06:07:26.465Z","2025-09-23T14:47:51.020Z","","3","false","https://gitlab.com/atlas-datascience/lion/local-environment/-/issues/16"
"atlas-datascience/lion/devops","71509248","1","171732704","As Scrum Master I want to define and present Scrum process and workflow, generate backlog and board artifacts, facilitate Sprint planning, review and retrospective","closed","roy.mayfield","roy.mayfield","","","2025-08-11T06:07:26.465Z","2025-09-23T14:47:50.157Z","","3","false","https://gitlab.com/atlas-datascience/lion/devops/-/issues/1"
"atlas-datascience/lion/local-environment","70509031","17","173838694","As TPM, I want to conduct backlog triage on Phase 1 to establish Foundation Build","closed","roy.mayfield","roy.mayfield","","","2025-08-11T06:15:01.565Z","2025-09-23T14:47:52.944Z","","3","false","https://gitlab.com/atlas-datascience/lion/local-environment/-/issues/17"
"atlas-datascience/lion/devops","71509248","2","171732806","As TPM, I want to conduct backlog triage on Phase 1 to establish Foundation Build","closed","roy.mayfield","roy.mayfield","","","2025-08-11T06:15:01.565Z","2025-09-23T14:47:52.572Z","","3","false","https://gitlab.com/atlas-datascience/lion/devops/-/issues/2"
"atlas-datascience/lion/local-environment","70509031","18","173838695","As TPM, I want to review open and in-progress items with the team for items that require status update","closed","roy.mayfield","","","","2025-08-11T06:16:19.282Z","2025-09-23T14:47:56.568Z","","3","false","https://gitlab.com/atlas-datascience/lion/local-environment/-/issues/18"
"atlas-datascience/lion/devops","71509248","3","171732822","As TPM, I want to review open and in-progress items with the team for items that require status update","closed","roy.mayfield","","","","2025-08-11T06:16:19.282Z","2025-09-23T14:47:54.747Z","","3","false","https://gitlab.com/atlas-datascience/lion/devops/-/issues/3"
"atlas-datascience/lion/local-environment","70509031","20","173838699","As Technical Lead I want to define a concrete end to end ingestion test plan","closed","roy.mayfield","szahniy","","","2025-08-11T16:37:23.289Z","2025-09-23T14:47:57.681Z","","3","false","https://gitlab.com/atlas-datascience/lion/local-environment/-/issues/20"
"atlas-datascience/lion/devops","71509248","4","171755108","As Technical Lead I want to define a concrete end to end ingestion test plan","closed","roy.mayfield","szahniy","","","2025-08-11T16:37:23.289Z","2025-09-23T14:47:57.386Z","","3","false","https://gitlab.com/atlas-datascience/lion/devops/-/issues/4"
"atlas-datascience/lion/local-environment","70509031","21","173838701","As developer I want to be able to deliver Edge Connector as a Lambda function within the Lambda payload constraints","closed","roy.mayfield","rcross3","","","2025-08-11T16:42:27.149Z","2025-09-23T14:47:58.706Z","","3","false","https://gitlab.com/atlas-datascience/lion/local-environment/-/issues/21"
"atlas-datascience/lion/devops","71509248","5","171755292","As developer I want to be able to deliver Edge Connector as a Lambda function within the Lambda payload constraints","closed","roy.mayfield","rcross3","","","2025-08-11T16:42:27.149Z","2025-09-23T14:47:58.521Z","","3","false","https://gitlab.com/atlas-datascience/lion/devops/-/issues/5"
"atlas-datascience/lion/local-environment","70509031","22","173838703","As Developer I want to complete the Kinesis interface and implement Error codes","closed","roy.mayfield","chris.sonnenberg","","","2025-08-11T16:52:25.814Z","2025-09-23T14:48:00.183Z","","5","false","https://gitlab.com/atlas-datascience/lion/local-environment/-/issues/22"
"atlas-datascience/lion/devops","71509248","6","171755640","As Developer I want to complete the Kinesis interface and implement Error codes","closed","roy.mayfield","chris.sonnenberg","","","2025-08-11T16:52:25.814Z","2025-09-23T14:48:00.017Z","","5","false","https://gitlab.com/atlas-datascience/lion/devops/-/issues/6"
"atlas-datascience/lion/local-environment","70509031","23","173838706","As Solution Architect I want to have a clear understanding of how OPA will integrate to different components","closed","roy.mayfield","rprice314","","","2025-08-11T17:02:19.480Z","2025-09-23T14:48:01.449Z","","8","false","https://gitlab.com/atlas-datascience/lion/local-environment/-/issues/23"
"atlas-datascience/lion/devops","71509248","7","171756028","As Solution Architect I want to have a clear understanding of how OPA will integrate to different components","closed","roy.mayfield","rprice314","","","2025-08-11T17:02:19.480Z","2025-09-23T14:48:01.279Z","","8","false","https://gitlab.com/atlas-datascience/lion/devops/-/issues/7"
"atlas-datascience/lion/infrastructure/aws/master-network","71529533","3","171756206","As Platform Engineer I need to test and evaluate the Master Network design","closed","roy.mayfield","pierreo32","","","2025-08-11T17:07:17.925Z","2025-09-05T18:39:55.442Z","","5","false","https://gitlab.com/atlas-datascience/lion/infrastructure/aws/master-network/-/issues/3"
