Project,project_id,issue_iid,issue_id,title,state,author,assignees,labels,milestone,created_at,updated_at,due_date,weight,confidential,web_url,full_text
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","3","169054839","Raw Geospatial Metadata Extractor","closed","rcross3","rcross3","aspect::edge-connector","","2025-06-17T19:41:24.821Z","2025-09-19T14:52:22.214Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/3","ISSUE TITLE: Raw Geospatial Metadata Extractor STATE: closed AUTHOR: rcross3 CREATED: 2025-06-17T19:41:24.821Z LABELS: aspect::edge-connector ASSIGNEES: rcross3 DESCRIPTION: Extractors should be pluggable and chainable. Meaning, they can be dropped in and out of an extraction chain with ease.  Create an extractor that implements the following methods to perform the task of extracting raw geospatial metadata. ``` interface Extractor<T,V> {     initialize(): Promise<void>;     extract(event: T, out: V): <T,V>     can_extract: (event: T) => boolean; } ```  **Success Criteria** * GDAL dependencies configured up in project * Extracts all raw geospatial data from the GDAL binding calls based on the filetype (raster vs vector) * Populates raw data to our Edge Connector event output schema  Example datasets: https://gitlab.com/ftsg/lion/example-datasets/-/tree/EXAMPLE001-initial-dataset?ref_type=heads  **Out of Scope** Batch processing COMMENTS: None"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","4","169054876","File Type (MIME/EXIF) extractor","closed","rcross3","","Backlog|aspect::edge-connector","","2025-06-17T19:43:05.092Z","2025-09-19T14:52:22.634Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/4","ISSUE TITLE: File Type (MIME/EXIF) extractor STATE: closed AUTHOR: rcross3 CREATED: 2025-06-17T19:43:05.092Z LABELS: Backlog, aspect::edge-connector ASSIGNEES:  DESCRIPTION:   Description: S3 MIME type metadata is often unreliable or may be missing if not explicitly set by the source system. The edge connector must ensure that each file’s MIME type is accurately populated. Implement logic to identify and record the MIME type and lightweight metadata (file extension, size, encoding hints) for each file ingested, including unknown formats if possible.  Acceptance Criteria:  * MIME type is extracted using `mime-types` or `file-type` package based on file extension or magic bytes. * Metadata includes: `mimeType`, `extension`, `sizeBytes`, `etag`, and optionally encoding. * If MIME cannot be inferred, value is set to `application/octet-stream` with a warning log. * Output JSON schema includes `source.mimeType` and source.extension. * If S3 metadata for Content-Type/MIME type is missing or generic, the edge connector calls the MIME Type Extractor. * MIME Type Extractor reads the file header and determines the actual MIME type. * The extracted MIME type is included in the outgoing metadata payload. * Solution works for common file types (PDF, TIFF, CSV) used in our datasets, please see example-datasets created by Serge. * Unit/integration tests verify fallback logic and correct MIME type assignment. * Unit tests cover CSV, PDF, JSON, and unknown file types.   Technical Requirements:   * If the MIME type is not present or is set to a generic/unknown value, the edge connector should trigger the MIME Type Extractor. * The MIME Type Extractor must review the file header to determine the correct MIME type. * The determined MIME type should be added to the file’s metadata before any downstream processing.  Notes:  * AWS S3 MIME Type Handling:     * AWS S3 Documentation – Working with Object Metadata     * https://docs.aws.amazon.com/AmazonS3/latest/userguide/UsingMetadata.html     * AWS S3 – Content-Type and Metadata     * https://docs.aws.amazon.com/AmazonS3/latest/userguide/UsingMetadata.html#object-metadata COMMENTS: None"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","5","169055251","Generate Idempotency Keys for Edge Connector output","closed","rcross3","rcross3","aspect::edge-connector","","2025-06-17T19:58:16.965Z","2025-09-19T14:52:22.921Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/5","ISSUE TITLE: Generate Idempotency Keys for Edge Connector output STATE: closed AUTHOR: rcross3 CREATED: 2025-06-17T19:58:16.965Z LABELS: aspect::edge-connector ASSIGNEES: rcross3 DESCRIPTION: The edge connector should be able to process the same triggering input event multiple times, and the result should be the same as if it was only processed once. (within a reasonable time window) To do this, we need to implement some form of idempotency.   **Success Criteria:**  * Generate an idempotency key based on the incoming event or subset of the event. Think generically, can hash the entire event payload if needed, we want this to work outside of just S3 eventually. * Determine and scaffold (locally) a suitable architecture for persisting idempotency keys. (Suggestions: Redis Cache/DynamoDB) * Build the control flow to check/set idemptotency keys before proceeding with extraction.  * Investigate the use of AWS powertools idemptotency and existing Lion solution and create a detailed follow up story if more work is needed.  Links: Lion Previous IMPL https://docs.powertools.aws.dev/lambda/typescript/latest/features/idempotency/#amazon-dynamodb COMMENTS: None"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","6","169055330","Exponential back-off and retry mechanism","closed","rcross3","rcross3","aspect::edge-connector","","2025-06-17T20:02:35.364Z","2025-09-19T14:52:23.236Z","","5","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/6","ISSUE TITLE: Exponential back-off and retry mechanism STATE: closed AUTHOR: rcross3 CREATED: 2025-06-17T20:02:35.364Z LABELS: aspect::edge-connector ASSIGNEES: rcross3 DESCRIPTION: Exponential Back-off and Retry   Description: Implement a back-off and retry mechanism for the edge connector when delivering events to the ingestion gateway. OpenMetaData / LocalStack should automatically handle errors (network timeouts or HTTP > 500 responses) by retrying failed requests. This will help avoid overloading the gateway.  Technical Requirements:  * On failure to send an event, the edge connector should wait for increasing delay (ideally, sequenced) before retrying. * The mechanism could support the following parameters: initial delay, maximum delay, and maximum number of retries. * If the maximum retry limit is reached, failures need to be logged within the logger. * The back-off algorithm should use full jitter as recommended by AWS link below to avoid synchronized retries within LockStack.   Acceptance Criteria: * When delivery to the ingestion gateway fails, the edge connector retries with exponential back-off and full jitter. * All back-off and retry parameters are configurable via application properties .env/… * Maximum retry attempts and wait time are enforced. * Success resets the retry mechanism for the next operation. * Unit and integration tests validate exponential back-off logic.  Notes: * AWS Architecture Blog – Exponential Backoff and Jitter * https://aws.amazon.com/blogs/architecture/exponential-backoff-and-jitter/ * AWS SDK Error Retries – Retry Behavior * https://docs.aws.amazon.com/sdkref/latest/guide/feature-retry-behavior.html COMMENTS: None"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","8","169055411","JWT Auth","opened","rcross3","","Backlog|Parking Lot|aspect::edge-connector","","2025-06-17T20:04:56.289Z","2025-09-19T14:51:55.270Z","","3","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/8","ISSUE TITLE: JWT Auth STATE: opened AUTHOR: rcross3 CREATED: 2025-06-17T20:04:56.289Z LABELS: Backlog, Parking Lot, aspect::edge-connector ASSIGNEES:  DESCRIPTION: Implement JWT (JSON Web Token) authentication for the Edge Connector when sending data to the Ingestion Gateway. This will ensure secure communication between the Edge Connector and the gateway by using AWS Secrets Manager to store and retrieve authentication credentials.  **Requirements**  **AWS Secrets Manager Integration**  Create a new secret in AWS Secrets Manager to store JWT credentials Secret should include:  **JWT signing key/secret** Issuer information Token expiration configuration Any additional authentication parameters  **Edge Connector Authentication Implementation**  Implement JWT token generation in the Edge Connector Retrieve credentials from AWS Secrets Manager on startup Generate and sign JWT tokens for each request to the Ingestion Gateway Implement token refresh logic before expiration  **Security Considerations**  Use appropriate IAM roles for accessing AWS Secrets Manager Implement secure credential caching with appropriate TTL Ensure tokens have reasonable expiration times (recommended: 1 hour) Include necessary claims in JWT payload (edge_connector_id, timestamp, etc.)  **Technical Details**  Use AWS SDK for Secrets Manager integration Implement retry logic for credential retrieval Handle credential rotation scenarios Log authentication events appropriately (without exposing sensitive data)  **Acceptance Criteria**   AWS Secret created with JWT credentials  Edge Connector successfully retrieves credentials from Secrets Manager  JWT tokens are generated and included in all requests to Ingestion Gateway  Token refresh occurs before expiration  Authentication failures are properly logged and handled  Documentation updated with authentication flow COMMENTS: None"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","9","169055421","JSON Encryption","opened","rcross3","","Backlog|Parking Lot|aspect::edge-connector","","2025-06-17T20:05:35.895Z","2025-09-19T14:51:50.344Z","","2","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/9","ISSUE TITLE: JSON Encryption STATE: opened AUTHOR: rcross3 CREATED: 2025-06-17T20:05:35.895Z LABELS: Backlog, Parking Lot, aspect::edge-connector ASSIGNEES:  DESCRIPTION: Description: Add encryption for payloads sent to the Ingestion Gateway. Use AWS KMS or symmetric encryption to encrypt payload contents before sending.   Technical Requirements: * All JSON payloads must be encrypted before being stored or transmitted.  Acceptance Criteria:  * Payload body is encrypted using AES-256 or envelope encryption before transmission. * Encryption key is retrieved securely from AWS Secrets Manager or KMS via `JWT_SECRET_ARN`. * Gateway successfully decrypts the payload and returns 202 on valid inputs. (tag with assignee #10) * Encrypted payload size remains < 50 KB after base64 encoding. * `ENABLE_PAYLOAD_ENCRYPTION` env var toggles encryption; enabled by default. * * Keys are securely  integrated with AWS KMS. * Encryption and decryption processes need to be thoroughly tested for accuracy. * Failures in encryption or decryption should be logged within logger.   Notes: * AWS KMS Developer Guide – What is AWS Key Management Service? * https://docs.aws.amazon.com/kms/latest/developerguide/overview.html * AWS Encryption SDK – Encrypting and decrypting data * Per discussion with Greg, this item can remain in the active backlist. COMMENTS: None"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","10","169055431","Create Mock Ingestion Gateway","closed","rcross3","","aspect::edge-connector","","2025-06-17T20:06:16.814Z","2025-09-19T14:52:23.504Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/10","ISSUE TITLE: Create Mock Ingestion Gateway STATE: closed AUTHOR: rcross3 CREATED: 2025-06-17T20:06:16.814Z LABELS: aspect::edge-connector ASSIGNEES:  DESCRIPTION: **Overview**  Develop a mock version of the Ingestion Gateway to facilitate local development and testing of the Edge Connector. This mock service will simulate the behavior of the actual Ingestion Gateway, allowing developers to test the Edge Connector functionality without requiring access to the production gateway. Requirements  **Mock Gateway Features**  REST API endpoints that mirror the production Ingestion Gateway JWT authentication validation (using same format as production) Data ingestion endpoints with validation Response simulation (success/error scenarios) Request logging for debugging   **Endpoints to Implement**  POST /api/v1/ingest - Main data ingestion endpoint  GET /api/v1/health - Health check endpoint  POST /api/v1/auth/validate - Token validation endpoint (optional)  Configure appropriate response codes and payloads COMMENTS: None"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","11","169090050","Edge Connector Basic Metrics","closed","rcross3","","Closed|aspect::edge-connector","","2025-06-18T13:51:51.755Z","2025-09-19T14:52:23.781Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/11","ISSUE TITLE: Edge Connector Basic Metrics STATE: closed AUTHOR: rcross3 CREATED: 2025-06-18T13:51:51.755Z LABELS: Closed, aspect::edge-connector ASSIGNEES:  DESCRIPTION: Create CloudWatch metrics for Lambda; Create dashboard with uptime and error alarms.  **Acceptance Criteria** - Structured JSON logging, suggested to look for [Lambda Powertools](https://github.com/aws-powertools/powertools-lambda-typescript) for this or other alternatives like Watson. - Custom metrics collected:   - edge_events_sent_total (Counter)   - edge_post_latency_ms (Histogram) - CloudWatch Dashboard with:   - send rate   - latency P95   - error count - Alarms:   - HighErrorRate - error > 1% for 5min.   - BufferBacklog - SQS age > 2h. - All CloudWatch log groups, dashboards, alerts deployed by SAM / Terraform / Serverless. COMMENTS: None"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","12","169090234","CI-CD: Quality Checks","closed","rcross3","alain.atemnkeng","aspect::platform","","2025-06-18T13:56:28.407Z","2025-09-22T14:04:25.393Z","","3","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/12","ISSUE TITLE: CI-CD: Quality Checks STATE: closed AUTHOR: rcross3 CREATED: 2025-06-18T13:56:28.407Z LABELS: aspect::platform ASSIGNEES: alain.atemnkeng DESCRIPTION: Add a GitLab CI workflow that enforces quality gates, static-analysis scans, and deployments to LocalStack and AWS account (May need to create separate ticket for AWS deployment, secrets config, etc).  **Acceptance Criteria** - Workflow stages: `lint` -> `unit-test` -> `coverage ≥ 30%` -> `git-secrets scan` -> `semgrep` -> `LocalStack deploy (SAM/Serverless)`. - Fails the build on any High/Critical vulnerability or secrets hit. - Manual Promote to the development AWS account. COMMENTS: None"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","17","169091527","Define Edge Connector Event JSON Schema v.01","closed","rcross3","rprice314","aspect::edge-connector","","2025-06-18T14:20:10.212Z","2025-09-19T14:52:24.056Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/17","ISSUE TITLE: Define Edge Connector Event JSON Schema v.01 STATE: closed AUTHOR: rcross3 CREATED: 2025-06-18T14:20:10.212Z LABELS: aspect::edge-connector ASSIGNEES: rprice314 DESCRIPTION: Following the good practice of OpenMetadata's data model, let's define a standardized event schema in JSON Schema.   ```JSON # Input: S3 ObjectCreated event {   """"bucket"""": """"client-data"""",   """"key"""": """"imagery/2023/scene1.tif"""",   """"eventTime"""": """"2023-06-17T10:30:00Z"""" } ```  ```JSON # Output: Standardized metadata event {   """"idempotencyKey"""": """"sha256(identifier+timestamp+eventType+contentHash)"""",   """"tenantId"""": """"client-123"""",   """"timestamp"""": """"2023-06-17T10:30:15Z"""",   """"source"""": {     """"type"""": """"S3""""     """"event"""": """"ObjectCreated"""",     """"identifier:"""" """"/client-data/imagery/2023/scene1.tif""""     """"location"""": """"s3://client-data/imagery/2023/scene1.tif"""",     """"size"""": 1048576,     """"checksums"""": {""""md5"""": """"..."""", """"sha256"""": """"...""""},     """"metadata"""": {     }   } } ``` COMMENTS: None"
"atlas-datascience/lion/infrastructure/gitlab-runner-manager-templates","70655583","1","169148445","Review and Validate Runner Manager Project Configuration and Best Practices","closed","alain.atemnkeng","","","","2025-06-19T13:56:14.001Z","2025-08-08T20:25:12.724Z","","","false","https://gitlab.com/atlas-datascience/lion/infrastructure/gitlab-runner-manager-templates/-/issues/1","ISSUE TITLE: Review and Validate Runner Manager Project Configuration and Best Practices STATE: closed AUTHOR: alain.atemnkeng CREATED: 2025-06-19T13:56:14.001Z LABELS:  ASSIGNEES:  DESCRIPTION: We currently have a GitLab runner manager deployed on AWS Fargate that is responsible for provisioning EC2-based runners across multiple AWS accounts. The associated project that defines and manages the runner manager and its provisioning logic needs to be reviewed to ensure everything is functioning as expected.  Objectives: 	•	Review the current implementation of the runner manager project 	•	Confirm that: 	•	All configurations follow GitLab and AWS best practices 	•	The setup properly provisions runners into the correct accounts 	•	Security principles (least privilege, isolation, etc.) have been applied 	•	The code and infrastructure are well-organized and modular 	•	Documentation is complete and up to date  Deliverables: 	•	A summary of findings and any gaps or improvements 	•	Confirmation that the current setup is production-ready 	•	Recommendations (if any) for enhancements or refactoring COMMENTS: None"
"atlas-datascience/lion/example-datasets","70542589","7","169212884","Spike - Investigate Apache Rancher","closed","rprice314","rprice314","","","2025-06-20T22:35:45.928Z","2025-06-30T13:17:10.552Z","","","false","https://gitlab.com/atlas-datascience/lion/example-datasets/-/issues/7","ISSUE TITLE: Spike - Investigate Apache Rancher STATE: closed AUTHOR: rprice314 CREATED: 2025-06-20T22:35:45.928Z LABELS:  ASSIGNEES: rprice314 DESCRIPTION: Investigate the usage of apache rancher to implement attribute based access control in OpenSearch. Purpose is to determine if Apache Rancher will meet the abac requirements that are needed to implement ic-ism and other classification frameworks COMMENTS: None"
"atlas-datascience/lion/example-datasets","70542589","8","169212917","Spike - Investigate OPA","closed","rprice314","rprice314","","","2025-06-20T22:37:26.687Z","2025-06-30T13:34:24.305Z","","","false","https://gitlab.com/atlas-datascience/lion/example-datasets/-/issues/8","ISSUE TITLE: Spike - Investigate OPA STATE: closed AUTHOR: rprice314 CREATED: 2025-06-20T22:37:26.687Z LABELS:  ASSIGNEES: rprice314 DESCRIPTION: Investigate the usage of OPA to implement attributed based access control in OpenSearch. Purpose is to determine if OPA can be used to implement ic-ism and other classification frameworks in OpenSearch COMMENTS: None"
"atlas-datascience/lion/example-datasets","70542589","9","169213008","Document Schema Extension Strategies","closed","rprice314","rprice314","","","2025-06-20T22:39:57.632Z","2025-06-30T13:27:39.053Z","","","false","https://gitlab.com/atlas-datascience/lion/example-datasets/-/issues/9","ISSUE TITLE: Document Schema Extension Strategies STATE: closed AUTHOR: rprice314 CREATED: 2025-06-20T22:39:57.632Z LABELS:  ASSIGNEES: rprice314 DESCRIPTION: Need to document the schema extension strategies that can be used in OpenMetadata and recommend a stragey to the development team. Strategies that will be compared and contrasted are below.  Custom Properties Direct Schema Modification Hybrid Approach COMMENTS: None"
"atlas-datascience/lion/cicd/containers/utility/container-tools","69667755","1","169324068","Create Gitlab CICD pipeline template file","closed","freedomgb","freedomgb","","","2025-06-23T19:37:26.641Z","2025-08-29T18:22:44.375Z","2025-06-27","","false","https://gitlab.com/atlas-datascience/lion/cicd/containers/utility/container-tools/-/issues/1","ISSUE TITLE: Create Gitlab CICD pipeline template file STATE: closed AUTHOR: freedomgb CREATED: 2025-06-23T19:37:26.641Z LABELS:  ASSIGNEES: freedomgb DESCRIPTION: Create pipeline template file for container builds.  * Integrate with orchestrated pipeline for container builds ftsg/lion/cicd/pipelines/containers * Add CICD variable values to customize build to container needs (e.g. artifact locations, etc.)  Success:  * All jobs complete successfully * SBOM, Container Signature and Vulnerability findings are published to Security and Vulnerability Dashboard * Container is tagged and registered in project Registry COMMENTS: None"
"atlas-datascience/lion/infrastructure/aws/aws-account-creation","71125468","1","169475633","Develop Terraform Codebase for AWS Account Creation and Organization Integration","closed","alain.atemnkeng","","","","2025-06-25T14:58:56.703Z","2025-08-08T20:25:39.769Z","","","false","https://gitlab.com/atlas-datascience/lion/infrastructure/aws/aws-account-creation/-/issues/1","ISSUE TITLE: Develop Terraform Codebase for AWS Account Creation and Organization Integration STATE: closed AUTHOR: alain.atemnkeng CREATED: 2025-06-25T14:58:56.703Z LABELS:  ASSIGNEES:  DESCRIPTION: We need to develop a secure Terraform codebase that enables the creation of new AWS accounts and automatically adds them to our existing AWS Organization. This codebase should also support assigning baseline organizational-level permissions and configurations to the newly created accounts as needed (e.g., SCPs, IAM Identity Center permission sets, etc.).   Security Requirement: This codebase should include an automation pipeline for automation.   Acceptance Criteria: 	1.	A Terraform codebase exists that: 	•	Creates a new AWS account programmatically using the AWS Organizations API. 	•	Automatically adds the new account to the existing AWS Organization. 	•	Optionally attaches baseline organizational policies or permission sets to the new account.  	2.	The codebase is well-documented and includes: 	•	Clear, step-by-step instructions on how it works 	•	Input variables for account name, email address, and optional OU or policy attachments.  	3.	The codebase should contain: 	•	A CI/CD pipeline or automation triggers. 	•	Make sure to set up permissions for who can run this pipeline and what approvals are needed for this to run  	4.	Security and IAM roles used in the code follow least privilege principles and are reviewed by the security team. 	 	6.	The process is tested and validated with at least one successful account creation and organization attachment. 	7.	The project configuration and branching strategy need to adhere to standards. COMMENTS: None"
